carpark_number,address,x_coordinate,y_coordinate,latitude,longitude,carpark_type,type_of_parking_system,short_term_parking,free_parking,night_parking,carpark_decks,gantry_height,carpark_basement
T39,BLK 921-941 TAMPINES STREET 91,39926.9824,36424.8207,1.34568462687202,103.940489448379,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T4,BLK 124/127 TAMPINES STREET 11,40964.6909,36395.5354,1.34541935145374,103.949813866417,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T40,BLK 9001/9012 TAMPINES STREET 93,40129.3633,35824.8047,1.34025822405266,103.942307721527,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
T41,BLK 821/829 TAMPINES STREET 81,39350.702,36706.421,1.34823153921415,103.93531132944,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T42,BLK 824/827 TAMPINES STREET 81,39062.7271,36823.2135,1.34928787514059,103.932723742203,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
T43,BLK 831/841 TAMPINES STREET 83,39241.8985,37029.2046,1.35115071575004,103.934333784096,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
T44,BLK 830/840 TAMPINES STREET 82,39357.5533,36980.6496,1.35071155860269,103.935372995895,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
T45,BLK 843/855 TAMPINES STREET 83,39338.9023,37240.9629,1.35306574280325,103.935205503243,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
T46,BLK 842/856 TAMPINES STREET 82,39486.3058,37178.0754,1.35249695522808,103.936529992091,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T47,BLK 857/864 TAMPINES STREET 83/AVE 5,39527.3164,37445.0986,1.35491179824478,103.936898600411,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T47A,BLK 864B TAMPINES STREET 83,39328.7136,37444.6416,1.35490774141074,103.935114028205,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.9,N
T48,BLK 865/874A TAMPINES ST 83/84,39076.7194,37331.671,1.35388617172942,103.932849658789,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T49,BLK 875/886A TAMPINES STREET 84 /AVE 8,38918.6987,37122.0189,1.35199021376969,103.931429666918,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T49A,BLK 882A TAMPINES STREET 83,39139.9893,37058.3736,1.35141454753975,103.93341807749,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,1.8,N
T50,BLK 887-889 TAMPINES ST 81/AVENUE 3,38870.9497,36981.7596,1.3507217778173,103.931000561674,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T51,BLK 894-896 TAMPINES STREET 81,38948.9356,36763.5017,1.34874790547339,103.931701234,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
T54,BLK 513 TAMPINES CENTRAL 1,40286.9005,37300.6184,1.3536048699086,103.943723884913,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,4.5,N
T55,BLK 501/508 TAMPINES CENTRAL 1,40456.9061,37597.9862,1.35629408280217,103.945251615154,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
T56,BLK 827A TAMPINES ST 81,39079.6727,36911.3845,1.35008525483366,103.932876041246,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
T57,BLK 885A TAMPINES ST 83,39101.1472,36984.4555,1.35074607400332,103.933069029811,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0,N
T58,BLK 872A TAMPINES ST 86,38884.7143,37492.6034,1.35534165557462,103.93112443013,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
T7,BLK 136/138 TAMPINES ST 11,40518.5548,36401.0077,1.3454690301723,103.945805070188,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
T7A,BLK 136A TAMPINES ST 11,40498.7308,36344.861,1.3449612686041,103.945626916515,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
T72,BLK 401/417 TAMPINES STREET 41,40496.7609,37796.9601,1.35809351171481,103.945609818867,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T73,BLK 418/424 TAMPINES STREET 41,40642.7732,37796.0139,1.3580848929486,103.946921832795,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T74,BLK 425/428 TAMPINES STREET 41,40786.4727,37942.9375,1.35941355354089,103.948213127833,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T75,BLK 429/432 TAMPINES STREET 41,41035.8679,37933.5266,1.35932833656169,103.950454100812,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T76,BLK 433/443 TAMPINES STREET 43,41168.0391,38026.2765,1.36016707354684,103.951641785202,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,3.8,N
T77,BLK 472/484 TAMPINES STREET 43/44,41294.1032,38193.2412,1.36167698332747,103.952774627142,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
T78,BLK 444/450 TAMPINES STREET 42,41120.082,37750.8945,1.35767664338403,103.951210738825,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T79,BLK 451/460 TAMPINES STREET 42,41482.7031,37721.6602,1.35741209731408,103.954469107908,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
T8,BLK 137/139 TAMPINES ST 11,40338.7812,36505.4414,1.34641356406649,103.944189739808,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
T80,BLK 461/471 TAMPINES STREET 44,41494.2122,37985.4918,1.35979808571345,103.954572643446,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
T81,BLK 485A/489C TAMPINES ST 45/AVE 9,41871.9858,38044.2348,1.36032916124625,103.95796721036,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
T9,BLK 140/148 TAMPINES STREET 12,40278.3039,36660.4761,1.34781566497871,103.943646378021,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
UAM1,BLK 2A JOO SENG RD,33107.6324,35187.5516,1.33449714209208,103.879213248135,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UA2,BLK 3 TO 5 UPPER ALJUNIED LANE,33109.332,35098.3344,1.33369029333272,103.879228505061,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
UA3,BLK 10/11/19 TO 21 JOO SENG ROAD,33265.027,35204.8735,1.33465376820677,103.880627531435,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
UA4,BLK 8 JOO SENG ROAD,33075.3159,35275.3778,1.33529141628919,103.878922880565,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
UA5,BLK 12 TO 18 JOO SENG ROAD,33326.6984,35410.4255,1.33651269617453,103.88118172014,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.4,N
UA6,BLK 2 UPPER ALJUNIED LANE,33101.2667,35157.3013,1.33422357026289,103.879156043625,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
UBA4,UBI AVE 4,34994.9175,35328.5373,1.33577178887886,103.896171612116,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
UBKM,BLK 13A UPPER BOON KENG ROAD,32179.7655,33010.5845,1.31480956829553,103.870875537647,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UBK2,BLK 11/15/18 UPPER BOON KENG,32237.8125,33097.6016,1.31559651210228,103.871397130935,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
UBK4,BLK 19/20 UPPER BOON KENG,32537.2679,33063.4121,1.31528727164725,103.874087883451,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N
UBK5,BLK 38/39 UPPER BOON KENG,32522.9258,33422.543,1.31853512595568,103.873959065066,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.25,N
UBM1,BLK 5 UPP BOON KENG RD,32374.0247,32770.798,1.31264099731116,103.872621019962,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
UBM2,BLK 8 UPPER BOON KENG ROAD,32125.5883,32822.4057,1.313107753329,103.870388703293,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
UCS,BLK 34 UPPER CROSS STREET CAR PARK,28950.0781,29897.9961,1.28666068424947,103.841855080758,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U1,BLK 101/110 BUKIT BATOK WEST AVE 6,18391.6404,36723.769,1.34838903635158,103.746981168257,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U10,BLK 178/184 BUKIT BATOK WEST AVENUE 8,18029.1321,36437.8173,1.3458028755321,103.743723903184,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U11,BLK 166 BUKIT BATOK WEST AVENUE 8,17982.2826,36616.6603,1.34742025045639,103.743302872798,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N
U12,BLK 201/211 BUKIT BATOK STREET 21,18668.6078,36565.8437,1.34696090516785,103.749469939361,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
U13,BLK 212/230 BUKIT BATOK STREET 21,19086.17,36658.92,1.34780278033573,103.753221962889,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U14,BLK 217/219 BUKIT BATOK STREET 21,19276.68,36568.93,1.34698899958591,103.754933838146,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.15,N
U15,BLK 231/237 BUKIT BATOK EAST AVENUE 5,19332.565,36778.361,1.34888303354316,103.755435938821,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
U16,BLK 238/241 BUKIT BATOK EAST AVENUE 5,19291.0823,36949.9677,1.3504349700196,103.755063141519,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
U17,BLK 242/253 BUKIT BATOK EAST AVE 2/5,19484.9573,36912.4024,1.35009529893153,103.756805239923,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
U18,BLK 254/265 BUKIT BATOK EAST AVE 4,19699.5049,37022.2461,1.35108874572942,103.75873305343,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U19,BLK 266/284 BUKIT BATOK EAST AVE 3/4,19653.7625,36736.2392,1.34850219053259,103.758322108562,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,4.5,N
U2,BLK 111/132 BUKIT BATOK WEST AVE 6,18316.8368,36887.7302,1.34987181733718,103.746308959295,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
U20,BUKIT BATOK EAST AVE 2/6,19895.4902,36584.6445,1.34713128944735,103.760494221886,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
U21,BLK 301/309 BUKIT BATOK STREET 31,18569.9729,37715.1464,1.35735474756691,103.748583284219,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
U22,BLK 310/323 BUKIT BATOK STREET 32/33,18339.7245,38092.0958,1.36076366583715,103.746514231597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U23,BLK 407-426 BUKIT BATOK WEST AVE 2/4,18234.0951,38341.652,1.36302052590783,103.745565000139,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0,N
U24,BLK 324/336 BUKIT BATOK STREET 32/33,18465.58,38439.7002,1.36390731323921,103.747645015232,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,4.5,N
U24T,BLK 333/334 BUKIT BATOK WEST AVE 4,18441.4863,38506.9696,1.36451566524294,103.747428495583,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,9.99,N
U25,BLK 337-353/355-356 BUKIT BATOK ST 34,18728.7311,38350.9289,1.36310458166433,103.750009632241,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U26,BLK 354/357-370 BUKIT BATOK ST 31,18742.24,38064.66,1.36051567476526,103.75013110752,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U27,BLK 371-373 BUKIT BATOK ST 31,18846.1378,37962.5676,1.35959242065741,103.751064729048,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
U28,BLK 374-376 BUKIT BATOK ST 31,18790.052,37772.6738,1.35787507325844,103.750560819781,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
U29,BLK 376 BUKIT BATOK MSCP,18649.5445,37851.9011,1.35859153212589,103.749298243858,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,3,1.9,N
U3,BLK 133/139 BUKIT BATOK WEST AVENUE 6,18098.9773,37055.7538,1.35139128987837,103.744351301537,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U30,BLK 523-525 BUKIT BATOK STREET 52,19027.5388,37666.3629,1.35691370888255,103.752694824911,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U31,BLKS 526-534 BUKIT BATOK STREET 51,18847.0784,37666.2614,1.35691273601511,103.751073271566,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U32,BLKS 512-514 BUKIT BATOK STREET 52,19018.5011,37355.1895,1.35409956753183,103.752613708516,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
U33,BLKS 535-542 BUKIT BATOK STREET 51/52,18873.0414,37452.2798,1.35497757258742,103.751306631042,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U34,BLKS 501-511 BUKIT BATOK ST 52,19139.7066,37093.5044,1.35173301915686,103.753702894239,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
U36,BLKS 2019-2024 BUKIT BATOK STREET 23,18937.3455,36228.7505,1.34391243955246,103.751884812551,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U38,BLK 185/187 BUKIT BATOK WEST AVENUE 6,18124.0483,36539.8249,1.34672542628351,103.744576749204,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
U39,BLK 631 BUKIT BATOK CENTRAL,18837.6188,36875.2113,1.34975876496218,103.750988512217,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,1.9,N
U4,BLK 140/143 BUKIT BATOK STREET 11,17973.0318,36974.1108,1.35065289856399,103.743219629791,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0,N
U40,BLK 644A BUKIT BATOK CENTRAL,18879.8441,36750.5885,1.34863173473082,103.75136797044,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
U41,BLK 632/644 BUKIT BATOK CENTRAL,18955.5289,36844.8175,1.34948393038886,103.752048016715,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4,N
U41A,BLK 630 BT BATOK CENTRAL,18690.779,36915.3896,1.35012207751204,103.749669053169,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
U43,BLK 404A BUKIT BATOK WEST AVENUE 7,18275.4565,38569.6475,1.36508244707202,103.745936585547,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
U45,BLK 285A BUKIT BATOK EAST AVE 3,19606.6244,36561.0495,1.34691782537071,103.757898592395,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,2,2,N
U46,BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22,18463.4479,36256.9749,1.34416754409047,103.74762655016,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
U48,BLK 350 BUKIT BATOK STREET 32,18590.8011,38166.1707,1.36143365273833,103.74877029718,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
U49,210A BUKIT BATOK STREET 21,18817.5304,36385.1968,1.34532724647198,103.750808154629,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
U5,BLK 144/149 BUKIT BATOK WEST AVENUE 6,18135.2799,36917.0123,1.35013657461671,103.744677548542,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,0,N
U50,BLK 230A BUKIT BATOK ST 21 BUKIT BATOK ST 21,19356.5349,36607.8807,1.34734127866967,103.755651372045,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
U51,BLK 412A BUKIT BATOK WEST AVE 4,18336.325,38543.2265,1.36484352519105,103.746483538708,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
